word,translation
Milch,milk
Kaffee,coffee
Tee,tea
Wein,wine
Brot,bread
Wasser,water
Bier,beer
Vater,father
Mutter,mother
Schwester,sister
Bruder,brother
"Mann","husband, man, guy"
"Frau","woman, wife, Ms."
Sohn,son
Tochter,daughter
Junge,boy
Hund,dog
jung,young
Elefant,elephant
Katze,cat
Maus,mouse
Eule,owl
Bär,bear
Käse,cheese
Salat,salad
Pizza,pizza
Sandwich,sandwich
Ei,egg
Mineralwasser,mineral water
Speisekarte,menu
Kellner,waiter
Salz,salt
Restaurant,restaurant
Wurst,sausage
Essen,food
Rechnung,check
"Schnitzel","schnitzel, schnitzels"
Kanada,Canada
Deutschland,Germany
Amerika,America
Österreich,Austria
"Stadt","city, town"
Frankreich,France
"Schauspielerin","actress, actor"
Schauspieler,actor
"Kellnerin","waitress, server"
"Professor","professor, a professor"
"Professorin","professor, a professor"
"Freundin","girlfriend, friend, friend's"
"Student","college student, university student, student"
"Ärztin","doctor, a doctor"
"Studentin","a student, college student, student"
"Arzt","doctor, physician"
"Lehrer","teacher, instructor, schoolteacher"
"Lehrerin","teacher, a teacher"
Klavier,piano
Taxistand,taxi stand
Park,park
"Markt","market, marketplace"
"Bahnhof","train station, railway station, rail station"
Bibliothek,library
"Apotheke","pharmacy, drugstore, chemist"
"Kirche","church, kirk"
"Café","coffee shop, cafe, coffeehouse"
Hotel,hotel
Museum,museum
"Supermarkt","supermarket, grocery store"
"Bäckerei","bakery, baker's"
"Kino","movie theater, cinema, movie theatre"
"Universität","university, uni, college"
"Geldautomat","ATM, cash dispenser, cashpoint"
U-Bahnstation,subway station
"Schüler","students, pupil, student"
"Polizist","police officer, policeman, a police officer"
Schweden,Sweden
"Anwältin","lawyer, a lawyer"
Russland,Russia
"Anwalt","lawyer, barrister, solicitor"
"Marktplatz","marketplace, market"
Orangen,oranges
"Dollar","dollar, dollars"
"Euro","euros, euro"
Tomaten,tomatoes
"Döner","doner kebab, kebab"
Kartoffeln,potatoes
Erdbeeren,strawberries
bewölkt,cloudy
sonnig,sunny
"regnet","rains, is raining"
Regenschirm,umbrella
windig,windy
"Herbst","fall, autumn"
"schneit","is snowing, snows"
"Winter","winters, winter"
"Schal","scarf, shawl"
Wasserflasche,water bottle
"Frühling","spring, springtime"
Sommer,summer
"Opa","grandpa, grandfather, granddad"
"Oma","grandma, grandmother, nan"
Fisch,fish
"Schnecke","snail, slug"
Volleyball,volleyball
"Fußball","soccer, football"
Basketball,basketball
Schwimmbad,swimming pool
Geld,money
Zeit,time
"Konzert","concert, concerto, show"
"Spiel","game, match, play"
"Tisch","table, desk"
Stuhl,chair
"Teppich","carpet, rug"
"Schrank","closet, cabinet, cupboard"
Schlafzimmer,bedroom
Couch,couch
Schreibtisch,desk
"Wohnung","apartment, flat"
"Lampe","lamp, light"
"Bücherregal","bookcase, bookshelf"
"Badezimmer","bathroom, restroom, washroom"
Bett,bed
Kleid,dress
Hemd,shirt
T-shirt,T-shirt
Größe,size
"Pullover","sweater, jumper"
"Aufzug","elevator, lift"
Schuhe,shoes
"Toiletten","toilets, bathrooms, restrooms"
Fahrkarte,ticket
Zug,train
"Gleis","track, platform"
Kreditkarte,credit card
Station,station
"Sitz","seat, place, chair"
Rotwein,red wine
"Glas","glass, jar"
Suppe,soup
Fleisch,meat
"Nachtisch","dessert, sweet"
"Apfelkuchen","apple cake, apple pie"
"Eis","ice cream, ice"
Zucker,sugar
Obstsalat,fruit salad
Zoo,zoo
Fluss,river
Bus,bus
Bushaltestelle,bus stop
Taxi,taxi

