group_id,language,level,group_number,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,sentence,prompt,image
1,Spanish,1,1,lo siento,"sorry, I am sorry",perdón,"sorry, excuse me, pardon",por favor,please,manzana,"apple, block",hotel,"hotel, hotels",,,
2,Spanish,1,2,tú,"you, you'll",sí,"yes, yourself",hablas,"(?) do you speak, speak, talking",teléfono,phone,buenos días,good morning,,,
3,Spanish,1,3,mi,my,necesito,"need, (I) need, (?) do I need",mucho gusto,"nice to meet you, so nice to meet you",hombre,"man, bloke, guy",comes,"ate, (you) are eating, (?) do you eat",,,
4,Spanish,1,4,soy,"I am, am",disculpe,"excuse me, excuse!, (I/he/she/it/you) excuse",gracias,"thanks, thank you, party piece",adiós,goodbye,bebe,"(he) is drinking, (you) are drinking, (he) drinks",,,
5,Spanish,1,5,él,"he, him, it",buenas noches,"good night, good evening",no,"do not, wasn't, n't",español,"Spanish, Spaniard, Spanish man",la,"the, your, her",,,
6,Spanish,1,6,leche,milk,hablo,"(I) am talking, speak, talking",como,"(I) eat, (I) am eating, like",maleta,suitcase,de nada,"you're welcome, you are welcome",,,
7,Spanish,1,7,pan,"bread, bar, cake",el,"the, your, her",es,"is, are you, it's",en,in,bebo,"(I) drink, (I) am drinking, drink",,,
8,Spanish,1,8,come,"(it) eats, (?) do you eat, (she) eats",yo,"I, me",niño,"boy, child, kid",inglés,"English, British, Englishman",taxi,"taxi, cab",,,
9,Spanish,1,9,un,"a, an, one",niña,"girl, child, daughter",una,"a, an, one",mujer,"woman, wife, lady",agua,water,,,
10,Spanish,1,10,pasaporte,passport,hola,"hello, hi",bebes,"(?) do you drink, (you) drink, drink",ella,"she, her, she'll",eres,"you're, aren't being, (?) are you",,,
11,Spanish,1,11,lo siento,"sorry, I am sorry",perdón,"sorry, excuse me, pardon",por favor,please,manzana,"apple, block",hotel,"hotel, hotels",,,
12,Spanish,1,12,tú,"you, you'll",sí,"yes, yourself",hablas,"(?) do you speak, speak, talking",teléfono,phone,buenos días,good morning,,,
13,Spanish,1,13,mi,my,necesito,"need, (I) need, (?) do I need",mucho gusto,"nice to meet you, so nice to meet you",hombre,"man, bloke, guy",comes,"ate, (you) are eating, (?) do you eat",,,
14,Spanish,2,1,tres,three,queso,cheese,tomate,tomato,mesa,table,quiero,"(I) love, (I) want, want",,,
15,Spanish,2,2,dinero,money,tiene,"is, makes, (?) does it have",pagar,to pay,madre,mother,dos,two,,,
16,Spanish,2,3,hospital,"hospital, hospitals",vaso,glass,boleto,ticket,baño,bathroom,calle,street,,,
17,Spanish,2,4,de,"with, made of, off",azúcar,sugar,cerrado,closed,o,or,ensalada,salad,,,
18,Spanish,2,5,tengo,"I've got, is there, I'm having",café,coffee,personas,people,tren,train,reserva,reservation,,,
19,Spanish,2,6,a,"to, with, away",naranja,orange,sándwich,"sandwich, sandwiches",hamburguesa,"burger, hamburger",sin,"absent, without, with no",,,
20,Spanish,2,7,aeropuerto,airport,supermercado,supermarket,dónde,where,inteligente,intelligent,uno,one,,,
21,Spanish,2,8,museo,"museum, museums",cuenta,check,jugo,juice,restaurante,restaurant,con,with,,,
22,Spanish,2,9,tu,your,pescado,fish,banco,"bank, banks",autobús,bus,está,it is,,,
23,Spanish,2,10,taza,"cup, mug",para,for,aquí,here,sal,salt,carne,"meat, pork, beef",,,
24,Spanish,2,11,tres,three,queso,cheese,tomate,tomato,mesa,table,quiero,"(I) love, (I) want, want",,,
25,Spanish,2,12,dinero,money,tiene,"is, makes, (?) does it have",pagar,to pay,madre,mother,dos,two,,,
26,Spanish,2,13,hospital,"hospital, hospitals",vaso,glass,boleto,ticket,baño,bathroom,calle,street,,,
27,Spanish,3,1,ese,that,camiseta,T-shirt,gato,cat,cinturón,belt,gris,"gray, grey",,,
